City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.0752,-159.319,79.12,76,100,11.5,US,1677967543
1,Aasiaat,68.7098,-52.8699,13.84,93,50,7.45,GL,1677967543
2,Kangaatsiaq,68.3065,-53.4641,13.66,94,20,5.41,GL,1677967543
3,Punta Arenas,-53.15,-70.9167,46.51,61,75,11.5,CL,1677967544
4,Shellbrook,53.2168,-106.4011,15.03,81,100,5.93,CA,1677967331
5,Atuona,-9.8,-139.0333,80.06,79,13,12.37,PF,1677967544
6,Port Alfred,-33.5906,26.891,69.19,96,11,7.76,ZA,1677967306
7,Khatanga,71.9667,102.5,-7.78,99,100,6.58,RU,1677967544
8,Bluff,-46.6,168.3333,51.8,65,83,8.14,NZ,1677967545
9,Machilipatnam,16.1667,81.1333,74.73,76,0,2.8,IN,1677967545
10,Aklavik,68.2191,-135.0107,-18.4,76,20,4.61,CA,1677967545
11,Yulara,-25.2406,130.9889,73.31,21,0,2.91,AU,1677967545
12,Jamestown,42.097,-79.2353,37.02,92,100,8.05,US,1677967300
13,Brae,60.3964,-1.353,35.89,80,100,11.5,GB,1677967546
14,Skibbereen,51.55,-9.2667,41.11,68,97,5.86,IE,1677967546
15,Tigil',57.8,158.6667,-2.43,97,96,5.7,RU,1677967546
16,Cumpas,29.9833,-109.7833,73.02,16,0,11.16,MX,1677967547
17,Bodmin,50.4715,-4.7243,39.16,70,100,6.91,GB,1677967547
18,Touros,-5.1989,-35.4608,80.4,77,91,13.49,BR,1677967547
19,Hilo,19.7297,-155.09,77.29,87,45,4.0,US,1677967328
20,Lorengau,-2.0226,147.2712,78.91,82,100,7.65,PG,1677967548
21,Hauterive,46.0901,3.4459,38.16,91,45,3.76,FR,1677967548
22,Albany,42.6001,-73.9662,36.64,90,100,3.8,US,1677967549
23,Mahébourg,-20.4081,57.7,80.26,88,75,3.44,MU,1677967549
24,George Town,5.4112,100.3354,78.73,77,20,6.91,MY,1677967400
25,Caravelas,-17.7125,-39.2481,76.1,81,40,5.26,BR,1677967549
26,Taoudenni,22.6783,-3.9836,78.01,13,11,11.32,ML,1677967550
27,Margate,51.3813,1.3862,42.91,84,100,3.0,GB,1677967327
28,Roald,62.5833,6.1333,34.75,69,40,8.05,NO,1677967550
29,Yangi Marg`ilon,40.4272,71.7189,45.32,76,27,2.3,UZ,1677967463
30,Alekseyevsk,57.8406,108.3492,15.57,87,100,12.73,RU,1677967550
31,Castro,-24.7911,-50.0119,66.78,96,74,4.07,BR,1677967551
32,Hobart,-42.8794,147.3294,65.23,94,75,8.05,AU,1677967551
33,Barrow,71.2906,-156.7887,-29.18,68,20,11.5,US,1677967551
34,Husavik,66.0449,-17.3389,33.28,97,100,2.46,IS,1677967383
35,Campeche,19.0,-90.5,90.64,46,30,8.84,MX,1677967552
36,Rincon,32.296,-81.2354,80.56,36,40,11.5,US,1677967552
37,Carnarvon,-24.8667,113.6333,77.34,67,0,21.21,AU,1677967298
38,Pandan,14.0453,124.1694,75.29,84,100,20.22,PH,1677967552
39,Constitución,-35.3333,-72.4167,68.2,53,6,17.11,CL,1677967552
40,Riyadh,24.6877,46.7219,69.94,24,1,9.31,SA,1677967523
41,Ushuaia,-54.8,-68.3,46.02,70,40,18.41,AR,1677967553
42,Andenes,69.3143,16.1194,30.24,81,100,35.84,NO,1677967553
43,Mar del Plata,-38.0023,-57.5575,66.83,80,20,11.5,AR,1677967553
44,Nikolskoye,59.7035,30.7861,30.09,98,98,4.41,RU,1677967554
45,Iqaluit,63.7506,-68.5145,24.53,73,100,12.66,CA,1677967554
46,Klaksvík,62.2266,-6.589,34.72,88,100,12.57,FO,1677967564
47,Meulaboh,4.1363,96.1285,74.59,88,66,3.56,ID,1677967565
48,Coquimbo,-29.9533,-71.3436,64.13,88,40,10.36,CL,1677967565
